Latitude (Deg), Longitude (Deg), GPS Altitude (m), N Velocity(m/s), E Velocity(m/s), D Velocity(m/s), Velocity(m/s), Ground Speed(m/s), AccelerometerX(g), AccelerometerY(g), AccelerometerZ(g), GyroX(rad/s), GyroY(rad/s), GyroZ(rad/s), Barometric Alt(m), QuaternionX, QuaternionY, QuaternionZ, QuaternionW, Roll(deg), Pitch(deg), Yaw(deg), MagneticX, MagneticY, MagneticZ, Satellites, Sequence(135 Hz) ,
36.16374815,140.0520556,56.75030136,-0.000501256,7.22E-05,-0.00748459,0.007501703,0.000506424,0.001444221,-0.013291852,-1.009094477,-0.000478595,0.002329961,0.005519582,56.76044083,0.004021985,0.006719318,0.818098366,0.575025082,0.894974662,0.065706414,109.7952704,-0.015096053,-0.001806993,-0.08983431,6,6321, 
36.16374815,140.0520556,56.60463333,-0.000555452,5.28E-05,-0.006516538,0.006540381,0.000557958,0.001010219,-0.013721504,-1.00859344,-0.000538529,0.002557685,0.007631681,56.75994873,0.004023895,0.006719614,0.818061054,0.57507813,0.895124024,0.065604955,109.7878375,-0.010839164,-0.003867522,-0.084644735,6,6324, 
36.16374815,140.0520556,56.60463333,-0.000581209,3.49E-05,-0.005566203,0.005596574,0.000582254,0.00084158,-0.014410506,-1.007571697,-0.000487084,0.002750128,0.008753026,56.75945663,0.004025397,0.006720188,0.818026066,0.57512784,0.895272845,0.065556358,109.7808711,-0.00515148,-0.003591124,-0.074629016,6,6327, 
36.16374815,140.0520556,56.60463333,-0.000580867,3.40E-05,-0.004608187,0.004644777,0.000581859,0.000973801,-0.01526279,-1.006718755,-9.35E-05,0.003218055,0.00900345,56.75895691,0.004026557,0.006721685,0.817992091,0.575176179,0.895485714,0.065599244,109.7741008,6.84E-05,-0.000182576,-0.066218287,6,6330, 
36.16374815,140.0520556,56.60463333,-0.000556633,6.24E-05,-0.003649309,0.003692044,0.000560115,0.001246642,-0.015986076,-1.006719112,-2.55E-05,0.003399614,0.008543745,56.75845337,0.004027383,0.006724122,0.817957938,0.575224698,0.895764748,0.065735599,109.7673026,0.004846841,0.005681157,-0.065774433,6,6333, 
36.16374815,140.0520556,56.66662216,-0.000527624,0.00010851,-0.003304644,0.003348258,0.000538666,0.001561784,-0.016447596,-1.007726669,-0.000219613,0.00358298,0.007627264,56.75815964,0.004027735,0.0067267,0.817922831,0.575274646,0.896025514,0.065927275,109.760308,0.005801797,0.009229824,-0.07562051,6,6336, 
36.16374815,140.0520556,56.66662216,-0.00051017,0.000148908,-0.003029665,0.003075925,0.000531458,0.001684347,-0.016658861,-1.009286404,-0.000818525,0.003663093,0.006066253,56.75786209,0.004027227,0.00672867,0.817885935,0.575327098,0.896172478,0.066162198,109.7529611,0.003490701,0.008079529,-0.091375262,6,6339, 
36.16374815,140.0520556,56.66662216,-0.0005138,0.000174087,-0.002853158,0.002904274,0.000542491,0.001567665,-0.016639335,-1.010280371,-0.001268659,0.00367711,0.004147125,56.75756836,0.00402584,0.006729653,0.817846417,0.575383067,0.89616867,0.066418379,109.7451117,-0.000725925,0.005035892,-0.101091705,6,6342, 
36.16374815,140.0520556,56.66662216,-0.000535592,0.000174942,-0.002744261,0.002801505,0.000563439,0.001328287,-0.016414728,-1.010208368,-0.001411146,0.003931995,0.002294397,56.75727463,0.004023721,0.006730243,0.817804337,0.57544297,0.896079381,0.066721479,109.736725,-0.004358485,0.000170879,-0.100618452,6,6345, 
36.16374815,140.0520556,56.5064888,-0.000552437,0.000172564,-0.001162165,0.001298304,0.000578762,0.001150606,-0.016284673,-1.00952816,-0.001299685,0.004225859,0.000516851,56.75643539,0.004020989,0.006731216,0.817759633,0.575506568,0.895985185,0.067111337,109.7278197,-0.003368974,-0.000475496,-0.093594678,6,6348, 
