Latitude (Deg), Longitude (Deg), GPS Altitude (m), N Velocity(m/s), E Velocity(m/s), D Velocity(m/s), Velocity(m/s), Ground Speed(m/s), AccelerometerX(g), AccelerometerY(g), AccelerometerZ(g), GyroX(rad/s), GyroY(rad/s), GyroZ(rad/s), Barometric Alt(m), QuaternionX, QuaternionY, QuaternionZ, QuaternionW, Roll(deg), Pitch(deg), Yaw(deg), MagneticX, MagneticY, MagneticZ, Satellites, Sequence(135 Hz) ,
36.16391728,140.0521095,78.13290405,-5.7493577,-1.846312046,-0.004315918,6.038542934,6.038541392,-0.002150876,-0.168495849,-0.986168683,-0.079243772,0.121041179,0.020448003,78.50897217,0.075818188,0.108653925,0.797771454,0.588223338,15.22226773,0.392729916,107.2473151,-0.806068182,-0.401808858,0.137764901,10,180637, 
36.16391702,140.0521094,78.70587921,-5.753761292,-1.847871065,-0.005220002,6.04321303,6.043210775,0.006475105,-0.176062286,-0.975338459,-0.033326462,0.041250646,0.062040851,78.50966644,0.075580917,0.108658746,0.797857821,0.588135719,15.20651847,0.412907177,107.264032,-0.880740166,-0.311815947,0.231806934,10,180640, 
36.16391676,140.0521093,78.70587921,-5.758586407,-1.848266125,-0.005605265,6.047928281,6.047925683,0.012479825,-0.172651947,-0.974288762,-0.060129128,0.01618262,0.010736156,78.51035309,0.075460963,0.108606488,0.797924697,0.588070273,15.19347338,0.41895973,107.275469,-0.964966059,-0.079017699,0.045911461,10,180643, 
36.1639165,140.0521092,78.70587921,-5.763171196,-1.848740339,-0.006871447,6.052440028,6.052436127,0.00806335,-0.177920863,-0.968752682,-0.066907167,-0.009652518,0.053983904,78.51104736,0.075365975,0.108484045,0.797985137,0.588022828,15.17559624,0.418281986,107.2838728,-0.916931391,-0.094850957,0.07749135,10,180646, 
36.16391624,140.0521091,78.70587921,-5.767195702,-1.849548221,-0.00793291,6.056520273,6.056515077,0.009340154,-0.174224228,-0.977590501,-0.025045717,-0.033752363,0.036664285,78.51174927,0.075350121,0.108357467,0.798055291,0.587953031,15.16275712,0.409730027,107.2939936,-0.804853439,-0.161584437,0.079735771,10,180649, 
36.16391598,140.052109,78.6955719,-5.771962643,-1.850748181,-0.008841909,6.061427205,6.061420756,0.002593657,-0.166777954,-0.986871421,-0.027341776,-0.063049346,0.019382503,78.51241302,0.075411916,0.108234376,0.798089623,0.587921202,15.15553581,0.395093836,107.2973366,-0.941918254,-0.260224104,0.018437598,10,180652, 
36.16391572,140.0521088,78.6955719,-5.777070522,-1.852127552,-0.010015943,6.066714152,6.066705884,0.002433751,-0.173142046,-0.994265854,0.030715588,-0.088227347,0.030052066,78.51308441,0.07556814,0.108127497,0.798106372,0.587898076,15.15628094,0.373173919,107.2977238,-1.021569252,-0.275879204,-0.041976511,10,180655, 
36.16391546,140.0521087,78.6955719,-5.782022476,-1.853336811,-0.011451395,6.071801412,6.071790613,0.002638814,-0.17318581,-0.991627336,0.03471905,-0.05138981,0.016675636,78.5137558,0.075757965,0.108091354,0.798113823,0.58787024,15.16591521,0.352968418,107.2981675,-0.990371823,-0.24184382,-0.044903532,10,180658, 
36.1639152,140.0521086,78.6955719,-5.786524773,-1.855334878,-0.012862004,6.076701563,6.076687951,-0.00287561,-0.174717143,-0.98978734,0.061412141,-0.052994013,0.010503408,78.51443481,0.075932547,0.108113557,0.798105955,0.587854147,15.17993799,0.338366155,107.2972243,-0.900419116,-0.399594665,0.095154271,10,180661, 
36.16391494,140.0521085,79.04799652,-5.79139185,-1.857247949,-0.016812731,6.08192997,6.081906732,0.003917325,-0.163676932,-0.987888813,0.089120626,-0.01646151,0.012744825,78.51625061,0.076111741,0.108216099,0.798091352,0.587832153,15.20175847,0.328739792,107.2970513,-0.973442197,-0.382626206,0.162977204,10,180664, 
36.16391467,140.0521084,79.04799652,-5.796601772,-1.85910821,-0.020285424,6.087469666,6.087435868,0.005469369,-0.162537143,-0.995878696,0.108624354,0.019200366,0.011257134,78.51808929,0.07625369,0.108418688,0.798077583,0.587795019,15.23035763,0.329063434,107.2996907,-1.041947246,-0.372048676,0.081410542,10,180667, 
36.16391441,140.0521083,79.04799652,-5.801939964,-1.861260414,-0.024030656,6.093223708,6.093176321,0.008804414,-0.155767098,-1.000998855,0.09675397,0.035529237,-0.003596866,78.51993561,0.076347172,0.108668655,0.798055768,0.587766469,15.26004857,0.337186519,107.3020278,-1.067654133,-0.430443585,0.122840054,10,180670, 
36.16391415,140.0521082,79.04799652,-5.806931973,-1.862956405,-0.02743781,6.098509517,6.098447794,0.011044934,-0.164271861,-0.999280989,0.079423949,0.06143067,0.021714112,78.52180481,0.07637848,0.108919494,0.79804945,0.587724388,15.28557566,0.350748526,107.3074085,-0.998363495,-0.339194864,0.064671479,10,180673, 
36.16391389,140.0521081,78.32561493,-5.811052799,-1.864532113,-0.024290122,6.10290133,6.102852992,0.007997094,-0.168808088,-0.995715082,0.083015889,0.034043934,-0.014898597,78.52127838,0.076399639,0.109156616,0.798036575,0.587695122,15.30912584,0.364530159,107.311176,-0.824197888,-0.315149844,0.049298786,10,180676, 
36.16391363,140.052108,78.32561493,-5.815877914,-1.866056323,-0.021307455,6.107950239,6.107913074,0.005811573,-0.162312955,-0.983543575,0.074241228,0.016647138,-0.018837588,78.52073669,0.076456122,0.109359533,0.797990322,0.587712944,15.33188584,0.373659058,107.3076479,-0.965069652,-0.304842889,0.131102011,10,180679, 
36.16391336,140.0521079,78.32561493,-5.821301937,-1.867699623,-0.018001944,6.113606317,6.113579813,-0.000926967,-0.160362452,-0.986458123,0.091639146,0.007928328,-0.01670295,78.52017975,0.076544732,0.109552026,0.797938883,0.587735236,15.35587355,0.379251308,107.3028789,-1.084706903,-0.328649193,0.050719678,10,180682, 
36.1639131,140.0521078,78.32561493,-5.826261044,-1.869622827,-0.015181346,6.118908214,6.118889381,-0.004307152,-0.157583356,-0.97251159,0.073388152,-0.012617134,-0.013314452,78.51960754,0.076662667,0.109721646,0.797888935,0.587756097,15.37973618,0.380592593,107.2977728,-0.991834283,-0.384658307,0.223358363,10,180685, 
36.16391284,140.0521077,78.50492859,-5.830828667,-1.871455669,-0.013247073,6.123812926,6.123798598,-0.006075474,-0.163061365,-0.963865399,0.051946893,-0.024151552,0.0111699,78.51963043,0.076787256,0.109825432,0.797861755,0.587757349,15.39793116,0.376446334,107.2952933,-0.913540363,-0.366560459,0.27806282,10,180688, 
36.16391258,140.0521076,78.50492859,-5.834513187,-1.873008132,-0.011066526,6.127791288,6.127781295,-0.006869676,-0.168455526,-0.955154896,0.060941562,-0.035460655,0.032032505,78.51964569,0.076931708,0.109895669,0.797867417,0.587717652,15.41437888,0.367419923,107.2982109,-0.736914635,-0.310488731,0.307675123,10,180691, 
36.16391231,140.0521075,78.50492859,-5.838105202,-1.874647141,-0.008764646,6.131708658,6.131702394,-0.007100643,-0.170116514,-0.952410817,0.102852531,-0.060251981,0.031893983,78.51963806,0.077152409,0.10998816,0.797877848,0.587657332,15.438127,0.352617774,107.3026137,-0.718444943,-0.327824533,0.354971677,10,180694, 
36.16391205,140.0521074,78.50492859,-5.842581749,-1.876721501,-0.006252698,6.136602006,6.136598821,-0.013716362,-0.171648338,-0.965089023,0.108906649,-0.058404595,0.029861784,78.5196228,0.077430911,0.110111825,0.797877729,0.587597668,15.46873648,0.334729807,107.3058275,-0.895288825,-0.414855748,0.245729908,10,180697, 
36.16391178,140.0521073,78.16897583,-5.84651947,-1.878906727,-0.001187363,6.14101635,6.141016235,-0.01701555,-0.185667589,-0.971775711,0.140158892,-0.058201589,0.025863869,78.51846313,0.077733949,0.110274777,0.797868192,0.58754009,15.50468496,0.317352298,107.3082764,-0.78752172,-0.437061131,0.174657792,10,180700, 
